dir_name,repository_name,file_name,search_string,taxon_key_id,taxon,scientific_name,species,kingdom,latitude,longitude,coordinate_precision_accuracy,observation_date,location_name,country,region,continent
Preferred_nectar_data,inaturalist,Acanthaceae,Acanthus eminens,578972,Acanthus eminens,,Acanthus eminens,,0.0027777627,32.1344444901,2169.0,2024-01-15,Bunjako Island,Uganda,Eastern Africa,Africa
Preferred_nectar_data,inaturalist,Acanthaceae,Acanthus eminens,578972,Acanthus eminens,,Acanthus eminens,,6.2039466667,37.5615316667,,2023-10-19,"Gaamo, Ethiopia",Ethiopia,Eastern Africa,Africa
Preferred_nectar_data,inaturalist,Acanthaceae,Acanthus eminens,578972,Acanthus eminens,,Acanthus eminens,,6.3133116667,37.5637666667,,2023-10-17,"Gaamo, Ethiopia",Ethiopia,Eastern Africa,Africa
Preferred_nectar_data,inaturalist,Acanthaceae,Acanthus eminens,578972,Acanthus eminens,,,,-1.2744274139,36.8146057129,2887.0,2023-10-18,Nairobi,Kenya,Eastern Africa,Africa
Preferred_nectar_data,inaturalist,Acanthaceae,Acanthus eminens,578972,Acanthus eminens,,Acanthus eminens,,-1.2889257778,36.82698125,,2021-07-25,"Moi ave Nairobi KE, Nairobi, Kenia",Kenya,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,-1.120612,29.725018,,2023-02-20,"Uganda, Africa",Uganda,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,2001-12-05,"Ethiopia, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,,,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,,,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,-0.4167,37.8667,,1949-08-26,"Kenya, Africa",Kenya,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,-0.4167,37.8667,,1949-08-26,"Kenya, Africa",Kenya,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,-0.2794,30.0479,,1994-08-28,"Uganda, Africa",Uganda,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,-1.166,36.791,,2009-02-02,"Kenya, Africa",Kenya,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,0.22,34.89,,2015-01-01,"Kenya, Africa",Kenya,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1970-12-09,,,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,-1.166,36.791,,2009-02-02,"Kenya, Africa",Kenya,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,0.6682,30.1397,,1994-02-12,"Uganda, Africa",Uganda,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,"Uganda, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1969-12-28,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,6.714354,39.725177,,1995-12-24,"Ethiopia, Africa",Ethiopia,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,6.313312,37.563767,,2023-10-17,"Ethiopia, Africa",Ethiopia,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,6.203947,37.561532,,2023-10-19,"Ethiopia, Africa",Ethiopia,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,,,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,-0.995243,36.651248,,2022-01-08,"Kenya, Africa",Kenya,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1926-02-01,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,2016-06-14,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,-1.288926,36.826981,,2021-07-25,"Kenya, Africa",Kenya,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,-1.135092,36.674103,,2022-09-29,"Kenya, Africa",Kenya,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1972-09-02,"South Africa, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,6.919233,40.1716,,2009-12-17,"Ethiopia, Africa",Ethiopia,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,7.67,36.87,,1961-12-19,"Ethiopia, Africa",Ethiopia,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,7.67,36.87,,1961-12-19,"Ethiopia, Africa",Ethiopia,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,0.37,33.8917,,1977-03-16,"Kenya, Africa",Uganda,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,-8.62583,35.61861,,1999-07-08,"Tanzania, United Republic of, Africa",United Republic of Tanzania,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,-0.66667,34.88333,,1974-12-10,"Kenya, Africa",Kenya,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,1.05,34.75,,1979-02-08,"Kenya, Africa",Kenya,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,-0.66667,34.88333,,1974-12-10,"Kenya, Africa",Kenya,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,2011-11-17,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,7.2667,36.25,,1974-12-10,"Ethiopia, Africa",Ethiopia,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,7.2667,36.25,,1974-12-10,"Ethiopia, Africa",Ethiopia,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,,,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,,,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,,,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,9.08333,41.75,,1975-10-23,"Ethiopia, Africa",Ethiopia,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,,,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,,,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,,,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,,,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1967-10-26,"Ethiopia, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1967-10-26,"Ethiopia, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1959-12-28,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1959-01-14,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1956-12-01,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1960-10-14,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1898-01-01,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1946-01-16,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1930-06-01,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1931-12-01,"Kenya, Africa",,,
