,NI: Not indicated,,,Forage resources (description of level of resources provided where indicated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family,Species,Native to Africa (Yes or NO),Plant's growth habit,Pollen,Nectar,Flowering duration/season,Benefit other pollinator species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Borago officinalis,Yes,Annual herb,Yes (Abundant ),Yes (Abundant where it is grown in quite large quantities),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Cynoglossum coeruleum,Yes,Perennial herb,Yes (Abundant ),Yes (Abundant ),Flowering almost all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Heliotropium cinerascens,Yes,Perennial shrub,Yes (Abundant ),Yes (Abundant ),Flowering is from August to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Echium plantagineum,Yes,Annual or biennial,Yes (Abundant ),Yes (Abundant),Flowering from November to February/march,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Trichodesma zeylanicum,Yes,Annual herb,Yes (Abundant ),Yes (Abundant ),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Cordia africana,Yes,Perennial tree,Yes (Abundant ),Yes (Abundant),"Flowering from March-June, June-Sept",NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Cordia sinensis ,Yes,Perennial tree,Yes (Abundant ),Yes (Abundant ),Flowering from March to September,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Ehretia cymosa,Yes,Perennial tree or shrub,Yes (Abundant ),Yes (Abundant),Flowering almost all year round with a peak from February to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Cordia platythyrsa,Yes,Perennial tree,NI,Yes (Abundant),Flowering in March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Ehretia rigida,Yes,Perennial shrub or small tree,Yes (Medium),Yes (Abundant),Flowering from August to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Echium fastuosum,No,Perennial shrub,Yes (Medium),Yes (Abundant),Flowering from August to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Heliotropium amplexicaule,No,Perennial herb,Yes (Poor),Yes (Abundant),Flowering from October to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Heliotropium indicum,No,Annual herb or subshrub,Yes (Medium),Yes (Abundant),Flowering from August to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Heliotropium currasavicum,No,Perennial herb,Yes (Poor),Yes (Abundant),Flowering from October to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Heliotropium arborescens,No,Perennial shrub,Yes (Poor),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Heliotropium nelsonii,Yes,Perennial herb ,Yes (Poor),Yes (Medium),Flowering from September to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Heliotropium strigosum,Yes,Annual or perennial herb,Yes (Poor),Yes (Medium),Flowering from October to July,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Lobostemon fruticosus,Yes,Perrenial shrub,Yes (Abundant ),Yes (Abundant), Flowering from May to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boraginaceae,Phacelia tanacetifolia,No,Annual herb,Yes (Medium),Yes (Abundant), Flowering from September to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bignoniaceae,Tecomaria capensis,Yes,Perennial shrub,Yes (Abundant ),Yes (Medium),"Flowering almost all year round, but especially after rains occuring in July-September",Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bignoniaceae,Tecoma stans,No,Perennial tree,No (do not provide pollen),Yes (Medium),Flowering from January to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bignoniaceae,Jacaranda mimosifolia,No,Perennial tree,No (do not provide pollen),Yes (Medium),Flowering from July to September and from January to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bignoniaceae,Stereospermum kunthianum,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering most profusely after the small rains in April and May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bignoniaceae,Spathodea campanulata,Yes,Perennial tree,Yes (Abundant),"Yes (Poor source in South Africa but report as a high nectar source during mornings in Mickels-Kokwe, G. 2006. Small-scale woodland-based enterprises with outstanding economic potential: the case of honey in Zambia. CIFOR, Bogor, Indonesia, 82 p.)",Flowering from December to June,Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bignoniaceae,Tabebuia heptaphylla,No,Perennial tree,Yes (Poor),Yes (Medium),Flowering from January to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bignoniaceae,Podranea ricasoliana,Yes,Perennial shrub,Yes (Poor),Yes (Medium),Flowering from January to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bignoniaceae,Pyrostegia venusta,No,Perennial shrub,Yes (Poor),Yes (Medium),Flowering from December to August,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bignoniaceae,Rhigozum obovatum,Yes,Perennial tree,Yes (Medium),Yes (Abundant),Flowering from January to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bignoniaceae,Rhigozum trichotomum,Yes,Perennial tree,Yes (Poor to good) ,Yes (Medium),"Flowering from September to November, August to May",NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bignoniaceae,Markhamia lutea,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),"Flowering from August to September, December to January",NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bignoniaceae,Tecomaria nyassae,Yes,Perennial shrub or small tree,Yes (Abundant),Yes (Abundant),Flowers over a long period,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Croton macrostachyus,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from April to July,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Croton megalocarpus,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Croton dichogamus,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from December to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Croton gratissimus,Yes,Perennial tree,Yes (very good),Yes (Medium),Flowering from September to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Croton megalobotrys,Yes,Perennial tree,Yes (Pollen value uncertain),Yes (Abundant),Flowering from September to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Pseudolachnostylis maprouneifolia,Yes,Perennial tree,Yes (Medium) ,Yes (Abundant),Flowering from July to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Spirostachys africana,Yes,Perennial tree,Yes (Abundant) ,No (do not provide nectar),Flowering from September to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia grandicornis,Yes,Perennial shrub or small tree,Yes (Poor though uncertain),Yes (Medium),Flowering from April to August,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia leucocephala,No,Perennial shrub or small tree,Yes (Poor though uncertain),Yes (Medium),Flowering from April to August,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
