Plant species,Family ,Native to Africa (Yes or NO),Sahara,Kalahari
Abutilon mauritianum,Malvaceae,YES,3,21
Brachychiton populneus,Malvaceae,NO,0,4
Corchorus asplenifolius,Malvaceae,YES,0,65
Dombeya burgessiae,Malvaceae,YES,0,50
Dombeya rotundifolia,Malvaceae,YES,2,61
Grewia bicolor,Malvaceae,YES,37,66
Grewia flava,Malvaceae,YES,0,342
Grewia flavescens,Malvaceae,YES,14,119
Grewia monticola,Malvaceae,YES,4,38
Grewia occidentalis,Malvaceae,YES,0,19
Grewia retinervis,Malvaceae,YES,0,96
Hermannia modesta,Malvaceae,YES,0,38
Hermannia stricta,Malvaceae,YES,0,47
Hibiscus caesius,Malvaceae,YES,1,60
Hibiscus calyphyllus,Malvaceae,YES,0,49
Hibiscus cannabinus,Malvaceae,YES,1,55
Hibiscus diversifolius,Malvaceae,YES,12,9
Hibiscus rosa-sinensis,Malvaceae,YES,0,1
Hibiscus trionum,Malvaceae,YES,2,34
Sida rhombifolia,Malvaceae,YES,0,2
Sparrmannia ricinocarpa,Malvaceae,YES,1,0
Waltheria indica,Malvaceae,YES,1,54
Acacia baileyana,Fabaceae,NO,0,1
Acacia decurrens,Fabaceae,NO,1,0
Acacia pendula,Fabaceae,NO,0,3
Acacia saligna,Fabaceae,NO,2,0
Aspalathus subtingens,Fabaceae,YES,0,1
Bauhinia bowkeri,Fabaceae,YES,0,1
Bauhinia galpinii,Fabaceae,YES,14,7
Bauhinia variegata,Fabaceae,NO,2,0
Bolusanthus speciosus,Fabaceae,YES,4,76
Brachystegia spiciformis,Fabaceae,YES,20,16
Burkea africana,Fabaceae,YES,0,236
Calpurnia aurea,Fabaceae,YES,0,30
Chamaecrista mimosoides,Fabaceae,YES,14,8
Colophospermum mopane,Fabaceae,YES,38,356
Crotalaria agatiflora,Fabaceae,YES,0,1
Dialium guineense,Fabaceae,YES,2,0
Dichrostachys cinerea,Fabaceae,YES,6,6
Eriosema psoraleoides,Fabaceae,YES,0,4
Erythrina abyssinica,Fabaceae,YES,2,0
